Type,Timestamp (UTC),Ticker,Direction,Strategy,Timeframe,Price,Gates Hit,Gates Total,Quality Tier,Quality Score,Order Action,Quantity,Limit Price,Execution Status,Gate Vector
WALL_UPDATE,2026-02-09T09:48:22.835Z,INLF,,DVTP SHORT,2m,48.51,5,9,D,56,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=0; VolumeGate=0; VolumeGate2=0"
WALL_NEW,2026-02-09T09:48:26.755Z,GTN,,DVTP SHORT,2m,4.37,5,9,D,56,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=0; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T09:50:13.088Z,CCHH,,DVTP SHORT,2m,70.7,7,9,B,78,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=0; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T09:52:04.904Z,CCHH,,DVTP SHORT,2m,70.34,7,9,B,78,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=0; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T09:54:01.017Z,CCHH,,DVTP SHORT,2m,69.93,8,9,A,89,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=1; VolumeGate2=1"
WALL_NEW,2026-02-09T09:54:01.845Z,TIRX,,DVTP SHORT,2m,13.01,7,9,B,78,,,,,"rule2_Fire=0; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T09:56:07.968Z,CCHH,,DVTP SHORT,2m,70.31,8,9,A,89,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T09:58:02.408Z,CCHH,,DVTP SHORT,2m,70.9,7,9,B,78,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=1"
WALL_UPDATE,2026-02-09T10:00:03.869Z,CCHH,,DVTP SHORT,2m,70.95,7,9,B,78,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=0; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T10:02:01.793Z,CCHH,,DVTP SHORT,2m,71,7,9,B,78,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=0; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T10:04:03.550Z,INLF,,DVTP SHORT,2m,48.54,5,9,D,56,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=0; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:04:04.357Z,CCHH,,DVTP SHORT,2m,70.7,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=0; VolumeGate=0; VolumeGate2=1"
WALL_UPDATE,2026-02-09T10:06:02.657Z,CCHH,,DVTP SHORT,2m,72.46000000000001,8,9,A,89,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=1; VolumeGate2=1"
WALL_NEW,2026-02-09T10:06:06.764Z,QS,,DVTP SHORT,2m,9.48,3,9,D,33,,,,,"rule2_Fire=0; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=0; entryDistanceGate=0; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:07:01.323Z,INLF,,DVTP SHORT,2m,47.83,5,9,D,56,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=0; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:08:01.671Z,CCHH,,DVTP SHORT,2m,74.81,7,9,B,78,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=0; VolumeGate=1; VolumeGate2=1"
WALL_NEW,2026-02-09T10:08:36.433Z,SIDU,,DVTP SHORT,2m,2.48,5,9,D,56,,,,,"rule2_Fire=0; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:08:56.522Z,INLF,,DVTP SHORT,2m,47.89,5,9,D,56,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=0; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:10:01.634Z,CCHH,,DVTP SHORT,2m,72.91,7,9,B,78,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=0; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T10:12:05.555Z,QS,,DVTP SHORT,2m,9.22,8,9,A,89,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T10:13:14.915Z,INLF,,DVTP SHORT,2m,47.800000000000004,5,9,D,56,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=0; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:14:02.932Z,QS,,DVTP SHORT,2m,9.63,5,9,D,56,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=0; entryDistanceGate=0; obvShortGate=1; VolumeGate=0; VolumeGate2=1"
WALL_NEW,2026-02-09T10:16:03.192Z,UOKA,,DVTP SHORT,2m,2.33,3,9,D,33,,,,,"rule2_Fire=0; Ovr60=1; gatedShort_1=0; gatedShort_2=0; ABOVELOWVWAP=0; entryDistanceGate=0; obvShortGate=0; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T10:18:01.906Z,CCHH,,DVTP SHORT,2m,72.31,8,9,A,89,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T10:20:09.637Z,CCHH,,DVTP SHORT,2m,71.63,8,9,A,89,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T10:22:05.467Z,CCHH,,DVTP SHORT,2m,71.33,8,9,A,89,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T10:24:02.129Z,CCHH,,DVTP SHORT,2m,70.63,8,9,A,89,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T10:24:31.726Z,SIDU,,DVTP SHORT,2m,2.44,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:26:01.292Z,TNON,,DVTP SHORT,2m,82.25,7,9,B,78,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=0; obvShortGate=1; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T10:26:04.923Z,CCHH,,DVTP SHORT,2m,71.62,8,9,A,89,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T10:26:50.480Z,SIDU,,DVTP SHORT,2m,2.44,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:28:01.344Z,TNON,,DVTP SHORT,2m,83.79,7,9,B,78,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=0; obvShortGate=1; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T10:28:32.404Z,CCHH,,DVTP SHORT,2m,72,7,9,B,78,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=1"
WALL_UPDATE,2026-02-09T10:29:41.320Z,INLF,,DVTP SHORT,2m,47.6,5,9,D,56,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=0; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:30:09.127Z,CCHH,,DVTP SHORT,2m,71.05,7,9,B,78,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=1"
WALL_UPDATE,2026-02-09T10:30:18.841Z,SIDU,,DVTP SHORT,2m,2.44,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:30:20.174Z,INLF,,DVTP SHORT,2m,47.7,5,9,D,56,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=0; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:32:00.805Z,CCHH,,DVTP SHORT,2m,70.97,8,9,A,89,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T10:32:31.644Z,SIDU,,DVTP SHORT,2m,2.44,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:34:03.729Z,CCHH,,DVTP SHORT,2m,71.66,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:34:20.194Z,SIDU,,DVTP SHORT,2m,2.46,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:36:01.045Z,CCHH,,DVTP SHORT,2m,71.3,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:36:01.164Z,TNON,,DVTP SHORT,2m,86.73,7,9,B,78,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=0; obvShortGate=1; VolumeGate=1; VolumeGate2=1"
WALL_NEW,2026-02-09T10:37:07.848Z,ALTS,,DVTP SHORT,2m,1.8900000000000001,3,9,D,33,,,,,"rule2_Fire=0; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=0; entryDistanceGate=0; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:37:31.082Z,SIDU,,DVTP SHORT,2m,2.43,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:38:01.998Z,TNON,,DVTP SHORT,2m,85.55,5,9,D,56,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=0; gatedShort_2=0; ABOVELOWVWAP=1; entryDistanceGate=0; obvShortGate=1; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T10:38:02.441Z,CCHH,,DVTP SHORT,2m,70.95,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:38:17.673Z,QS,,DVTP SHORT,2m,9.26,6,9,C,67,,,,,"rule2_Fire=0; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=1"
WALL_UPDATE,2026-02-09T10:38:34.323Z,SIDU,,DVTP SHORT,2m,2.42,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:40:14.817Z,SIDU,,DVTP SHORT,2m,2.41,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:40:26.641Z,CCHH,,DVTP SHORT,2m,70.95,7,9,B,78,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=1"
WALL_UPDATE,2026-02-09T10:42:19.257Z,CCHH,,DVTP SHORT,2m,72.3,8,9,A,89,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T10:42:26.819Z,INLF,,DVTP SHORT,2m,47.75,5,9,D,56,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=0; VolumeGate=0; VolumeGate2=0"
WALL_NEW,2026-02-09T10:42:35.979Z,BTQ,,DVTP SHORT,2m,3.0500000000000003,4,9,D,44,,,,,"rule2_Fire=0; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=0; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:42:58.340Z,SIDU,,DVTP SHORT,2m,2.41,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:44:20.852Z,SIDU,,DVTP SHORT,2m,2.41,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:44:30.584Z,CCHH,,DVTP SHORT,2m,72.26,7,9,B,78,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=1"
WALL_UPDATE,2026-02-09T10:46:09.512Z,SIDU,,DVTP SHORT,2m,2.41,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:46:17.499Z,CCHH,,DVTP SHORT,2m,71.94,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:47:03.232Z,INLF,,DVTP SHORT,2m,47.44,5,9,D,56,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=0; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:48:01.284Z,INLF,,DVTP SHORT,2m,47.75,5,9,D,56,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=0; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:48:09.430Z,SIDU,,DVTP SHORT,2m,2.41,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:48:15.593Z,CCHH,,DVTP SHORT,2m,71.9,7,9,B,78,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=1"
WALL_UPDATE,2026-02-09T10:50:05.099Z,SIDU,,DVTP SHORT,2m,2.41,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:50:10.373Z,CCHH,,DVTP SHORT,2m,71.9,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:52:02.456Z,CCHH,,DVTP SHORT,2m,71.01,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:53:43.500Z,SIDU,,DVTP SHORT,2m,2.45,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:54:07.022Z,CCHH,,DVTP SHORT,2m,71.46000000000001,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:56:13.834Z,CCHH,,DVTP SHORT,2m,71.46000000000001,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T10:58:06.562Z,CCHH,,DVTP SHORT,2m,71.87,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=0; VolumeGate=0; VolumeGate2=1"
WALL_UPDATE,2026-02-09T11:00:11.860Z,TNON,,DVTP SHORT,2m,86.75,5,9,D,56,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=0; gatedShort_2=0; ABOVELOWVWAP=1; entryDistanceGate=0; obvShortGate=1; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T11:00:33.008Z,CCHH,,DVTP SHORT,2m,71.52,5,9,D,56,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=0; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T11:02:02.199Z,CCHH,,DVTP SHORT,2m,71.8,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T11:04:04.510Z,CCHH,,DVTP SHORT,2m,71.5,5,9,D,56,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=0; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T11:06:03.056Z,CCHH,,DVTP SHORT,2m,70.5,8,9,A,89,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T11:08:03.094Z,CCHH,,DVTP SHORT,2m,70.9,6,9,C,67,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T11:08:46.456Z,INLF,,DVTP SHORT,2m,48.35,2,9,D,22,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=0; gatedShort_2=0; ABOVELOWVWAP=0; entryDistanceGate=1; obvShortGate=0; VolumeGate=0; VolumeGate2=0"
WALL_UPDATE,2026-02-09T11:10:02.813Z,TNON,,DVTP SHORT,2m,85.14,4,9,D,44,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=0; gatedShort_2=0; ABOVELOWVWAP=1; entryDistanceGate=0; obvShortGate=0; VolumeGate=1; VolumeGate2=1"
WALL_UPDATE,2026-02-09T11:10:03.768Z,CCHH,,DVTP SHORT,2m,68.22,8,9,A,89,,,,,"rule2_Fire=1; Ovr60=0; gatedShort_1=1; gatedShort_2=1; ABOVELOWVWAP=1; entryDistanceGate=1; obvShortGate=1; VolumeGate=1; VolumeGate2=1"
